capacity_Ah,voltage_V
1.922201634362792899e-01,3.932154066789356861e+00
2.121748924872474407e-01,3.930369828599324489e+00
2.321296215382155914e-01,3.928432161961984193e+00
2.520843505891837699e-01,3.926252984259217982e+00
2.720390796401519484e-01,3.923827625452157797e+00
2.919938086911201269e-01,3.921068063135184190e+00
3.119485377420883054e-01,3.918125410477970583e+00
3.319032667930564839e-01,3.914807733586465499e+00
3.518579958440246624e-01,3.911296328124118649e+00
3.718127248949928410e-01,3.907577524276344860e+00
3.917674539459610195e-01,3.903687089429999979e+00
4.117221829969291980e-01,3.899656667212599626e+00
4.516316410988654995e-01,3.891301693630696334e+00
4.915410992008018010e-01,3.882722083208479447e+00
5.314505573027381580e-01,3.874107488849854342e+00
5.713600154046745150e-01,3.865556172901126963e+00
6.112694735066108720e-01,3.857233863788073869e+00
6.511789316085472290e-01,3.849120008019340844e+00
6.910883897104835860e-01,3.841251781574786861e+00
7.309978478124199430e-01,3.833677551599265598e+00
7.709073059143563000e-01,3.826377459412313442e+00
8.108167640162926570e-01,3.819331619103217168e+00
8.906356802201652600e-01,3.805859635824783815e+00
9.624727048036506583e-01,3.794126043299823170e+00
1.027126026928787406e+00,3.783582905252753648e+00
1.091779349053924264e+00,3.772884558031200264e+00
1.156432671179061122e+00,3.761963163759558526e+00
1.214620661091684317e+00,3.751888549664552208e+00
1.272808651004307512e+00,3.741559732681839279e+00
1.330996640916930707e+00,3.730956083581591809e+00
1.389184630829553901e+00,3.720028047389150494e+00
1.447372620742177096e+00,3.708745957224255818e+00
1.505560610654800291e+00,3.697052008212680541e+00
1.563748600567423486e+00,3.684918503119283706e+00
1.621936590480046680e+00,3.672307857903412298e+00
1.680124580392669875e+00,3.659256048522259608e+00
1.738312570305293070e+00,3.645870543813151343e+00
1.796500560217916265e+00,3.632447049290556063e+00
1.848869751139277096e+00,3.620632696236831372e+00
1.901238942060637926e+00,3.609268504253079435e+00
1.953608132981998757e+00,3.598433666861755142e+00
2.005977323903359810e+00,3.588175489578495192e+00
2.058346514824720863e+00,3.578443948570373401e+00
2.110715705746081916e+00,3.569246767083112282e+00
2.163084896667442969e+00,3.560516560271209663e+00
2.215454087588804022e+00,3.552234694296926953e+00
2.267823278510165075e+00,3.544326685362912954e+00
2.320192469431526128e+00,3.536761344018697351e+00
2.372561660352887181e+00,3.529446996806804293e+00
2.424930851274248234e+00,3.522351021484361411e+00
2.477300042195609286e+00,3.515390238420990521e+00
2.529669233116970339e+00,3.508512918270535685e+00
2.582038424038331392e+00,3.501689993206754004e+00
2.634407614959692445e+00,3.494868703288838141e+00
2.686776805881053498e+00,3.488029778540363779e+00
2.739145996802414551e+00,3.481130755724433534e+00
2.791515187723775604e+00,3.474154842032628032e+00
2.843884378645136657e+00,3.467087400870974445e+00
2.896253569566497710e+00,3.459907436694331206e+00
2.948622760487858763e+00,3.452604753944223503e+00
3.000991951409219816e+00,3.445161502285130961e+00
3.053361142330580869e+00,3.437562618461350361e+00
3.105730333251941921e+00,3.429792775497925383e+00
3.158099524173302974e+00,3.421829161444867928e+00
3.210468715094664027e+00,3.413653172343200204e+00
3.262837906016025080e+00,3.405234754722365142e+00
3.315207096937386133e+00,3.396548846934893007e+00
3.367576287858747186e+00,3.387557005130526377e+00
3.419945478780108239e+00,3.378241609446011928e+00
3.472314669701469292e+00,3.368569421149957499e+00
3.524683860622830345e+00,3.358590184626953246e+00
3.571816132452055204e+00,3.349356612177067039e+00
3.614235177098357621e+00,3.340924231976719394e+00
3.656654221744660038e+00,3.332463921870216339e+00
3.694831361926332214e+00,3.324858858528833672e+00
3.733008502108004389e+00,3.317323938029231201e+00
3.771185642289676565e+00,3.309855571899768645e+00
3.809362782471348741e+00,3.302470409794779016e+00
3.847539922653020916e+00,3.295110784154031691e+00
3.885717062834693092e+00,3.287742295101582446e+00
3.923894203016365267e+00,3.280305970730603260e+00
3.962071343198037443e+00,3.272707296237928887e+00
4.000248483379709619e+00,3.264896423356393296e+00
4.038425623561381350e+00,3.256767729426745639e+00
4.072785049724886086e+00,3.249121664824015987e+00
4.107144475888390822e+00,3.241080385221461135e+00
4.141503902051895558e+00,3.232540178300202349e+00
4.172427385599050353e+00,3.224318989051762507e+00
4.203350869146205149e+00,3.215450672120820030e+00
4.231182004338643665e+00,3.206758039256301540e+00
4.256230026011838419e+00,3.198207773973870793e+00
4.281278047685033172e+00,3.188794497692951868e+00
4.303821267190908628e+00,3.179420313223701999e+00
4.326364486696784084e+00,3.169058328032238858e+00
4.346653384252071817e+00,3.158813562776731310e+00
4.366942281807359549e+00,3.147646054090450285e+00
4.387231179362647282e+00,3.135617725593947469e+00
4.407520076917935015e+00,3.122814062445543826e+00
4.427808974473222747e+00,3.109396337318032444e+00
4.448097872028510480e+00,3.095522939582724842e+00
4.468386769583798213e+00,3.081366424049619912e+00
4.488675667139085945e+00,3.067096036587523944e+00
4.508964564694373678e+00,3.052825891959520366e+00
4.529253462249661411e+00,3.038622027175022833e+00
4.549542359804949143e+00,3.024498991654569924e+00
4.569831257360236876e+00,3.010441699194164045e+00
4.590120154915524608e+00,2.996380813001185750e+00
4.610409052470812341e+00,2.982170387886971419e+00
4.630697950026100074e+00,2.967640940529403082e+00
4.650986847581387806e+00,2.952654580659741512e+00
4.671275745136675539e+00,2.936987077408625968e+00
4.691564642691963272e+00,2.920365979920457988e+00
4.711853540247251004e+00,2.902513536232904201e+00
4.752431335357827358e+00,2.861957113933217833e+00
4.788951350957345809e+00,2.817951300339357701e+00
4.821819364996912327e+00,2.770115307692623041e+00
4.854687379036478845e+00,2.712224042825547521e+00
4.887555393076045362e+00,2.641557016257356061e+00
4.917136605711655228e+00,2.564311447532876542e+00
4.938117106002973600e+00,2.499999999999889866e+00
